xName,,Mean,Median,Mode,ESS,HDImass,HDIlow,HDIhigh,CompVal,PcntGtCompVal,ROPElow,ROPEhigh,PcntLtROPE,PcntInROPE,PcntGtROPE
Intercept,beta0,2.797165596,2.72782,2.6598837,776.4,0.95,2.06733,3.74828,NA,NA,NA,NA,NA,NA,NA
house.House Frey,beta[1],2.52147381,1.029085,0.58467663,233.3,0.95,-0.776723,11.4617,NA,NA,NA,NA,NA,NA,NA
house.House Targaryen,beta[2],-1.7288477,-1.73039,-1.670668154,3359.3,0.95,-3.18618,-0.464806,NA,NA,NA,NA,NA,NA,NA
house.Night's Watch,beta[3],-1.294307194,-1.295105,-1.323400046,1973.5,0.95,-1.93236,-0.631651,NA,NA,NA,NA,NA,NA,NA
culture.Free Folk,beta[4],-0.878400818,-0.978891,-1.077313478,499.4,0.95,-2.01868,0.173957,NA,NA,NA,NA,NA,NA,NA
culture.Ironborn,beta[5],7.164028946,6.379265,4.247999088,443.7,0.95,0.609104,15.8549,NA,NA,NA,NA,NA,NA,NA
culture.Valyrian,beta[6],-11.75613006,-9.246525,-4.44610304,634.6,0.95,-29.2959,-1.91925,NA,NA,NA,NA,NA,NA,NA
male,beta[7],-1.34550911,-1.287565,-1.225821827,1066.1,0.95,-2.12211,-0.694486,NA,NA,NA,NA,NA,NA,NA
isPopular,beta[8],-1.737572246,-1.715525,-1.674003973,994.4,0.95,-2.47646,-1.03025,NA,NA,NA,NA,NA,NA,NA
isMarried,beta[9],0.196273144,0.150689,0.079801256,941.8,0.95,-0.533956,1.02122,NA,NA,NA,NA,NA,NA,NA
Intercept,zbeta0,2.019448938,1.98697,1.903331112,207.8,0.95,1.17348,2.91599,NA,NA,NA,NA,NA,NA,NA
house.House Frey,zbeta[1],0.548880225,0.2240135,0.127274433,233.3,0.95,-0.169079,2.49502,NA,NA,NA,NA,NA,NA,NA
house.House Targaryen,zbeta[2],-0.303711892,-0.3039835,-0.293491131,3359.3,0.95,-0.559725,-0.0816539,NA,NA,NA,NA,NA,NA,NA
house.Night's Watch,zbeta[3],-0.29250122,-0.2926815,-0.299075455,1973.5,0.95,-0.436695,-0.142747,NA,NA,NA,NA,NA,NA,NA
culture.Free Folk,zbeta[4],-0.140362541,-0.1564205,-0.172148393,499.4,0.95,-0.322571,0.0277972,NA,NA,NA,NA,NA,NA,NA
culture.Ironborn,zbeta[5],1.668917228,1.486105,0.989602912,443.7,0.95,0.141896,3.69352,NA,NA,NA,NA,NA,NA,NA
culture.Valyrian,zbeta[6],-1.72856919,-1.35957,-0.653736947,634.6,0.95,-4.30754,-0.282197,NA,NA,NA,NA,NA,NA,NA
male,zbeta[7],-0.65351875,-0.625374,-0.59538742,1066.1,0.95,-1.03072,-0.337315,NA,NA,NA,NA,NA,NA,NA
isPopular,zbeta[8],-0.409830948,-0.4046315,-0.394837312,994.4,0.95,-0.584108,-0.242999,NA,NA,NA,NA,NA,NA,NA
isMarried,zbeta[9],0.06849241,0.05258515,0.027849132,941.8,0.95,-0.186332,0.356371,NA,NA,NA,NA,NA,NA,NA
,guess,0.220661597,0.221603,0.222412373,562.7,0.95,0.137856,0.311109,NA,NA,NA,NA,NA,NA,NA
