"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",1.76311020595881,1.761275,1.73763927029013,3021.9,0.95,1.5502,1.97888,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.164912487991702,0.4880955,0.559320105816226,5183.8,0.95,-16.8507,17.4204,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-0.592472000167966,-1.114025,-1.16495568300844,95.6,0.95,-6.45548,10.0347,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.903001141111778,-0.901711,-0.923894621106806,5598.8,0.95,-1.32419,-0.488072,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.0934038509328134,-0.6946155,-0.815852563156696,5972.8,0.95,-21.4295,22.9359,NA,NA,NA,NA,NA,NA,NA
"beta[5]",0.557198769984603,0.82855,0.804709151345968,769.1,0.95,-9.3954,8.82753,NA,NA,NA,NA,NA,NA,NA
"beta[6]",-2.53192735462907,-2.50491,-2.39759518686184,708.3,0.95,-3.63868,-1.48293,NA,NA,NA,NA,NA,NA,NA
"beta[7]",-0.730272198060388,-0.7280365,-0.710758834330699,4913.2,0.95,-0.978113,-0.496529,NA,NA,NA,NA,NA,NA,NA
"beta[8]",-1.05529173205359,-1.05589,-1.08126142684398,5520.1,0.95,-1.48034,-0.662563,NA,NA,NA,NA,NA,NA,NA
"beta[9]",-0.142585942194161,-0.0893403,-0.0621367873824177,6215.5,0.95,-10.8166,11.0739,NA,NA,NA,NA,NA,NA,NA
"delta[1]",0.161467706458708,0,-0.000493196968306187,1434.7,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",0.852829434113177,1,1.00113549312401,152.1,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",0.999300139972006,1,0.999309310439654,7837.1,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.289842031593681,0,-0.00125149691434823,748.9,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",0.806738652269546,1,0.998781193607909,382.5,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",1,1,0.999162614389096,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[7]",1,1,0.999162614389096,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[8]",0.999700059988002,1,0.999466236423101,3195.9,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[9]",0.0303939212157568,0,0.00060603090143567,4188,0.95,0,0,NA,NA,NA,NA,NA,NA,NA
"zbeta0",1.15110343971206,1.15075,1.15351580273978,5481.7,0.95,1.04255,1.26598,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.0358985263446311,0.10625,0.121758697219128,5183.8,0.95,-3.6681,3.7921,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.104081339202959,-0.195704,-0.204651814643279,95.6,0.95,-1.13405,1.76283,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.204069747177564,-0.2037785,-0.208791858642682,5598.8,0.95,-0.299255,-0.1103,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.0149253764233153,-0.110995,-0.130367126889203,5972.8,0.95,-3.4243,3.665,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.129803863984893,0.1930175,0.187454986235429,769.1,0.95,-2.18873,2.05644,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-0.372283374105179,-0.368311,-0.352531336414748,708.3,0.95,-0.535015,-0.218043,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",-0.354695903119376,-0.35361,-0.345217701114932,4913.2,0.95,-0.475073,-0.241166,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",-0.248905456858628,-0.249047,-0.255031250569832,5520.1,0.95,-0.349159,-0.156275,NA,NA,NA,NA,NA,NA,NA
"zbeta[9]",-0.0497574844866427,-0.0311766,-0.0216825674118022,6215.5,0.95,-3.77462,3.86441,NA,NA,NA,NA,NA,NA,NA
