xName,,Mean,Median,Mode,ESS,HDImass,HDIlow,HDIhigh,CompVal,PcntGtCompVal,ROPElow,ROPEhigh,PcntLtROPE,PcntInROPE,PcntGtROPE
Intercept,beta0,1.76510314,1.764535,1.772451341,4038.7,0.95,1.55194,1.97454,NA,NA,NA,NA,NA,NA,NA
house.House Frey,beta[1],-0.245048624,0.451561,0.633467359,6176,0.95,-17.6861,16.5122,NA,NA,NA,NA,NA,NA,NA
house.House Targaryen,beta[2],-1.284061708,-1.14632,-1.097082676,207.8,0.95,-5.28219,4.03556,NA,NA,NA,NA,NA,NA,NA
house.Night's Watch,beta[3],-0.896380014,-0.898418,-0.916353567,4406.8,0.95,-1.30282,-0.462159,NA,NA,NA,NA,NA,NA,NA
culture.Free Folk,beta[4],-0.50428803,-0.71334,-0.695711536,4038.6,0.95,-21.9841,23.6648,NA,NA,NA,NA,NA,NA,NA
culture.Ironborn,beta[5],0.267466411,0.8141075,0.854337611,275.2,0.95,-11.0114,6.65976,NA,NA,NA,NA,NA,NA,NA
culture.Valyrian,beta[6],-2.483459112,-2.45921,-2.492928064,1202.9,0.95,-3.52816,-1.46956,NA,NA,NA,NA,NA,NA,NA
male,beta[7],-0.730387091,-0.7300655,-0.737350539,5233.4,0.95,-0.979413,-0.495985,NA,NA,NA,NA,NA,NA,NA
isPopular,beta[8],-1.049985317,-1.050995,-1.062612868,5784.5,0.95,-1.45409,-0.640652,NA,NA,NA,NA,NA,NA,NA
isMarried,beta[9],0.010957566,-0.04990135,-0.101892064,6370,0.95,-10.8438,11.0989,NA,NA,NA,NA,NA,NA,NA
house.House Frey,delta[1],0.163867227,0,0.001369236,1556.1,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
house.House Targaryen,delta[2],0.910617876,1,1.000346076,192.5,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
house.Night's Watch,delta[3],0.9985003,1,1.000385322,1853.9,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
culture.Free Folk,delta[4],0.26114777,0,0.000514454,800.4,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
culture.Ironborn,delta[5],0.775744851,1,1.000564358,384.2,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
culture.Valyrian,delta[6],1,1,0.999162614,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
male,delta[7],1,1,0.999162614,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
isPopular,delta[8],1,1,0.999162614,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
isMarried,delta[9],0.033993201,0,-0.000689763,3866.7,0.95,0,0,NA,NA,NA,NA,NA,NA,NA
Intercept,zbeta0,1.151873746,1.150945,1.146123514,5213.6,0.95,1.04331,1.26436,NA,NA,NA,NA,NA,NA,NA
house.House Frey,zbeta[1],-0.053342764,0.09829685,0.137897551,6176,0.95,-3.84996,3.59441,NA,NA,NA,NA,NA,NA,NA
house.House Targaryen,zbeta[2],-0.225574989,-0.201378,-0.192732793,207.8,0.95,-0.927938,0.708939,NA,NA,NA,NA,NA,NA,NA
house.Night's Watch,zbeta[3],-0.202573442,-0.2030335,-0.207087976,4406.8,0.95,-0.294425,-0.104443,NA,NA,NA,NA,NA,NA,NA
culture.Free Folk,zbeta[4],-0.080581822,-0.113987,-0.111169814,4038.6,0.95,-3.51291,3.78148,NA,NA,NA,NA,NA,NA,NA
culture.Ironborn,zbeta[5],0.06230838,0.1896525,0.199034689,275.2,0.95,-2.5652,1.55144,NA,NA,NA,NA,NA,NA,NA
culture.Valyrian,zbeta[6],-0.365156825,-0.3615915,-0.366549092,1202.9,0.95,-0.518765,-0.216077,NA,NA,NA,NA,NA,NA,NA
male,zbeta[7],-0.354751709,-0.3545955,-0.35813429,5233.4,0.95,-0.475704,-0.240902,NA,NA,NA,NA,NA,NA,NA
isPopular,zbeta[8],-0.247653861,-0.247891,-0.250632407,5784.5,0.95,-0.342968,-0.151107,NA,NA,NA,NA,NA,NA,NA
isMarried,zbeta[9],0.003823825,-0.0174138,-0.035556716,6370,0.95,-3.78411,3.87311,NA,NA,NA,NA,NA,NA,NA
